,Number_of_Unique_Hues,Pixels_Belong_To_Dominant_Hue,like_rate
231,88,79108,0.0959652437298164
232,175,458453,0.0155168404290555
233,177,128249,0.0394269906720614
234,90,241861,0.0401258732621789
235,181,290940,0.0260486363347203
236,181,91114,0.0573351863320573
237,181,434784,0.0380835212351025
238,112,259822,0.0260708211831868
239,181,104672,0.0211214880283531
240,181,299515,0.0162992204229361
241,169,501891,0.0131617298901958
242,173,665092,0.0279628817968968
243,181,223504,0.040201515621945995
244,176,366054,0.0263705348282009
245,180,50077,0.0254452529044043
246,181,625724,0.028205746243987005
247,87,293409,0.0199042998699435
248,136,383564,0.0282705413857166
249,93,283375,0.0211653230395545
250,181,588147,0.0229892313707173
251,128,950691,0.0803929257994101
252,79,362595,0.0307638077147493
253,126,371566,0.025798909637105
254,177,385212,0.0282072236770613
255,147,828025,0.0534253935183295
256,177,158028,0.0277606312976024
257,181,195163,0.0245049342239569
258,149,741700,0.0239840079994731
259,177,614845,0.0250152783398574
260,181,135898,0.0277098617142364
261,166,425611,0.0365413153752829
262,180,67738,0.0327206307611659
263,161,348080,0.0215420522804828
264,47,461073,0.0351045664090201
265,141,344852,0.0280182094767334
266,149,905686,0.0516694587653387
267,180,150557,0.0288767948430583
268,181,167942,0.0362655538961724
269,136,401521,0.0502882347360257
270,127,304003,0.083362419889335
271,181,123522,0.0284243179591694
272,124,118561,0.0206987341036003
273,179,108580,0.0232571185758944
274,80,276689,0.0347330403080885
275,108,270158,0.0470604192300574
276,151,1237532,0.0229705458909897
277,73,83302,0.0691345173208402
278,181,190195,0.0606974855792362
279,131,184861,0.0374478635487884
280,54,530374,0.0381570103105856
281,181,162787,0.0467878223763241
282,87,414145,0.0159217184321061
283,104,420214,0.0246505060827086
284,180,48786,0.0168028458352853
285,127,491921,0.0468402917657447
286,120,352667,0.0386296387212742
287,60,412792,0.0328586533667529
288,150,542709,0.0327167070128192
289,166,269012,0.0449542539107439
290,181,274503,0.0408861186771844
291,153,440757,0.0336761887577999
292,143,189848,0.0258934070281984
293,78,401586,0.033848212465784
294,145,309235,0.0736959216026896
295,80,519601,0.02910643605478
296,176,334477,0.0317293153280894
297,83,379105,0.0354437784656027
298,181,264697,0.045018231183893004
299,147,638787,0.0264928135143595
300,97,382816,0.0240473230361109
301,174,303470,0.0511005614517358
302,167,335016,0.0356798730459149
303,120,278647,0.0260187039833391
304,136,439350,0.0378503920317418
305,181,154727,0.0213119892131422
306,139,149963,0.0311316910071372
307,175,363384,0.0184123180750614
308,179,378520,0.0240314546050399
309,181,380151,0.0498137310321469
310,105,255038,0.0626290993496567
311,59,144277,0.0344898914802726
312,181,363097,0.0443626030414999
313,147,612318,0.0263321027768548
314,152,206427,0.0275196289805169
315,181,249654,0.0430294424032928
316,181,274019,0.028233654495937
317,142,115006,0.0199448751943775
318,115,410040,0.0170491495137861
319,93,444842,0.1096759313234414
320,48,175994,0.0142942564521072
321,147,127027,0.0200272559865727
322,93,543334,0.0355692411011527
323,64,699488,0.0334391717158724
324,181,251752,0.029441438924954
325,105,513110,0.0306133262187564
326,111,354084,0.0301946824414059
327,88,345437,0.038044253266728
328,85,145337,0.0415860198384216
329,173,309563,0.025712898703107
330,122,387495,0.0234708975603213
331,84,375232,0.0181676298789064
332,174,227064,0.0282922239994121
333,180,28586,0.0177431504439639
334,82,697793,0.0269750813551192
335,180,292954,0.0192302826066767
336,111,447187,0.0198242979498123
337,67,736956,0.0162823567161125
338,70,397919,0.0454637232982362
339,98,426634,0.0391471174767148
340,140,358572,0.0661469586632294
341,70,513246,0.0333194470015302
342,82,305491,0.0297000821515237
343,181,325167,0.0365396941401081
344,181,34305,0.0234552784963031
345,179,412943,0.0559006512842785
346,181,230141,0.0548604975294469
347,181,192900,0.0406760133745257
348,177,169720,0.040695967120268996
349,154,187745,0.0308719479838173
350,164,371822,0.038362439506476
