,Number_of_Unique_Hues,Pixels_Belong_To_Dominant_Hue,like_rate
304,157,288207,0.0146410642818352
305,154,95639,0.0187022062670327
306,167,264193,0.0182957689716974
307,180,170414,0.068049375399853
308,172,121743,0.0254685615430109
309,174,147187,0.0208985049795219
310,180,65320,0.0401363847727045
311,179,117869,0.0374015483562601
312,173,293927,0.034218042342894
313,177,333948,0.0206980596359821
314,178,343038,0.0304891728343308
315,172,85564,0.0173497619080983
316,161,472998,0.0137363352319859
317,130,256010,0.0103608811995688
318,174,288266,0.0197667931848673
319,167,278096,0.0147996525620427
320,147,197945,0.0104472666432551
321,165,120802,0.0138087975162713
322,167,70789,0.0202415789927373
323,146,246708,0.0182452117404815
324,159,215747,0.014713420558072
325,170,100603,0.0583073741672273
326,165,141278,0.0165865933775987
327,150,129941,0.0269215526911477
328,181,71309,0.0641348135057566
329,168,105544,0.0290114309054395
330,156,248236,0.0140244173089954
331,172,156752,0.0161231421816254
332,159,156102,0.022469524268569
333,112,69547,0.0070990914352643
334,167,147047,0.0285131788852382
335,181,172002,0.0515553963681195
336,168,173411,0.0268713125880331
337,158,105907,0.0128929468799758
338,165,395760,0.0152502580060203
339,154,202646,0.0155303324065425
340,180,136503,0.0671198253358901
341,167,131345,0.0367748350522021
342,171,105100,0.024725029334831
343,146,183704,0.0225273379897439
344,145,176474,0.0154084060169529
345,156,413670,0.0214010430397139
346,149,50615,0.0891035350649548
347,152,146095,0.0427201976455411
348,120,361090,0.0232484162865661
349,173,263239,0.0476941474752182
350,169,184488,0.0160685410014765
351,176,469785,0.0591049259615011
352,162,303097,0.0298040783865122
353,178,190664,0.0282825960690175
354,169,156390,0.0224057338749634
355,136,165017,0.0180115016304225
356,138,292719,0.0661851047243615
357,180,265552,0.0597299097573069
358,167,232527,0.0311433923599929
359,173,149746,0.039183283200914
360,137,246553,0.0260675080302498
361,135,111583,0.0629938311917845
362,137,74640,0.0192696855469573
363,170,114111,0.0529040076942611
364,142,114063,0.0242036266510223
365,156,456870,0.0331358687953163
366,154,244934,0.0216546411210369
367,148,166981,0.0491505170282917
368,143,135229,0.0569020808379772
369,169,140896,0.0229221291074151
370,180,49584,0.0870883556651418
371,163,217220,0.0427870721070559
372,95,233367,0.1077194665152612
373,144,87915,0.0475583862890503
374,149,182613,0.0519195476761547
375,81,364442,0.221328303165801
376,180,101504,0.0480371983794703
377,112,87117,0.3247600948564242
378,180,259198,0.0288873636818349
379,148,243640,0.0335155624478097
380,145,399920,0.0200499457230744
381,128,191122,0.0141331256047155
382,156,109553,0.0263902018439761
383,145,170552,0.0250152829670691
384,161,59212,0.0194034964112985
385,154,130884,0.0262527262736757
386,159,118531,0.0160487684830223
387,177,89448,0.039287867031314
388,166,119810,0.0306334864585509
389,146,125973,0.0182093659325787
390,166,84978,0.0117830426085016
391,157,583546,0.1310412561074219
392,135,279607,0.0234007144254405
393,162,200108,0.0230751504730402
394,171,144674,0.0137443789201416
395,159,169733,0.0193832883913671
396,134,265070,0.0089938593749853
397,169,259433,0.0226977532062628
398,150,204813,0.0212744617510846
399,161,128400,0.0589712702813402
400,165,146776,0.0206026330019838
401,167,132945,0.0090503394774045
402,164,159661,0.0183698795878988
403,171,96368,0.0152040827124178
404,133,195048,0.0280316286435395
405,149,127576,0.0329605749756424
406,179,150957,0.123991187441556
407,170,257450,0.0234195094684968
408,180,81817,0.0331638862071839
409,142,180183,0.0210443687155948
410,153,11334,0.08104405712038
411,167,115755,0.0398057190775782
412,179,106070,0.040593886565345
413,175,188089,0.0243412554637855
414,145,259759,0.0188598839520591
415,172,148253,0.0153545239970413
416,178,140455,0.0259443594486676
417,147,164496,0.0247117043208008
418,102,421942,0.0167093751485582
419,158,182551,0.0232558691664523
420,174,82518,0.0565820957986038
421,152,305874,0.0224947221925374
422,161,314869,0.0253038915953157
423,170,212485,0.030395247470176
424,170,162458,0.017473622707222
425,139,105964,0.0282048655959333
426,150,56153,0.0282483820984203
427,150,102759,0.0213880887647165
428,150,128792,0.0231648718720572
429,162,22289,0.0494076658595108
430,173,97832,0.0242936718717981
431,140,110384,0.01332
432,180,196638,0.0229822263877878
433,174,247939,0.0581936832213148
434,159,61282,0.0603076871180594
435,154,93952,0.0196618530685271
436,157,77758,0.0410992406279104
437,147,165811,0.0181999876897849
438,179,62575,0.0371725318820733
439,178,30300,0.0251582585271127
440,170,231267,0.0252868343161542
